,Mission Date,Theater of Operations,lat1,long1,lat2,long2,year
21291,11/26/1943,MTO,40.62,14.9125,39.27,16.25,1943
21292,11/26/1943,MTO,40.916667,14.4,41.28,13.53,1943
21293,11/26/1943,PTO,-6.244444,155.38388899999998,10.25,119.5,1943
21295,11/26/1943,MTO,40.916667,14.4,46.3,9.37,1943
21871,11/26/1943,MTO,36.649608,10.121936,43.77,11.07,1943
21891,11/27/1943,MTO,40.62,14.9125,39.27,16.25,1943
21892,11/27/1943,MTO,40.916667,14.4,41.9,12.47,1943
21894,11/27/1943,PTO,-6.244444,155.38388899999998,-6.583333333,155.08333330000002,1943
21895,11/27/1943,MTO,40.916667,14.4,46.3,9.37,1943
22171,11/28/1943,MTO,40.916667,14.4,44.87,13.85,1943
22174,11/28/1943,MTO,40.916667,14.4,41.48,13.82,1943
22175,11/28/1943,MTO,40.916667,14.4,41.47,12.63,1943
22178,11/28/1943,MTO,40.916667,14.4,46.3,9.37,1943
22184,11/28/1943,MTO,40.916667,14.4,42.1,11.78,1943
22431,11/28/1943,MTO,36.649608,10.121936,41.8,12.6,1943
22448,11/29/1943,MTO,40.916667,14.4,43.4,10.48,1943
22455,11/29/1943,MTO,40.916667,14.4,41.47,12.63,1943
22755,11/30/1943,PTO,-6.244444,155.38388899999998,-6.583333333,155.08333330000002,1943
23025,12/1/1943,MTO,40.916667,14.4,46.3,9.37,1943
23034,12/1/1943,MTO,40.916667,14.4,46.3,9.37,1943
23037,12/1/1943,MTO,40.916667,14.4,44.35,9.25,1943
23398,12/2/1943,MTO,40.916667,14.4,46.3,9.37,1943
23601,12/2/1943,MTO,40.916667,14.4,41.45,13.83,1943
23602,12/2/1943,MTO,40.62,14.9125,37.83,13.75,1943
23604,12/2/1943,MTO,40.916667,14.4,44.35,9.25,1943
24160,12/5/1943,MTO,40.916667,14.4,41.9,12.47,1943
24170,12/5/1943,MTO,40.916667,14.4,41.48,13.82,1943
24172,12/5/1943,MTO,40.916667,14.4,41.28,13.53,1943
24173,12/5/1943,MTO,40.916667,14.4,41.25,13.62,1943
24409,12/6/1943,MTO,40.62,14.9125,39.27,16.25,1943
24464,12/7/1943,MTO,40.916667,14.4,41.52,13.95,1943
24471,12/7/1943,MTO,40.916667,14.4,41.9,13.43,1943
24472,12/7/1943,MTO,40.916667,14.4,42.1,11.78,1943
24481,12/7/1943,MTO,40.62,14.9125,39.27,16.25,1943
24712,12/8/1943,MTO,40.916667,14.4,41.52,13.95,1943
24714,12/8/1943,MTO,40.916667,14.4,42.03,13.43,1943
24716,12/8/1943,MTO,40.916667,14.4,41.63,13.37,1943
24717,12/8/1943,MTO,40.916667,14.4,41.63,13.37,1943
24719,12/8/1943,MTO,40.916667,14.4,42.03,13.43,1943
24721,12/8/1943,MTO,40.62,14.9125,38.1,13.53,1943
24767,12/9/1943,MTO,40.916667,14.4,42.03,13.43,1943
24768,12/9/1943,MTO,40.916667,14.4,41.97,12.8,1943
24771,12/9/1943,MTO,40.62,14.9125,38.1,13.53,1943
24772,12/9/1943,MTO,40.916667,14.4,42.03,13.43,1943
24777,12/9/1943,MTO,40.916667,14.4,42.03,13.43,1943
24778,12/9/1943,MTO,40.916667,14.4,41.97,12.8,1943
24779,12/9/1943,MTO,40.916667,14.4,42.1,11.78,1943
24782,12/9/1943,MTO,40.916667,14.4,45.25,11.13,1943
25032,12/10/1943,PTO,-6.244444,155.38388899999998,-5.966666667,155.3833333,1943
25033,12/10/1943,MTO,40.916667,14.4,42.1,11.78,1943
25034,12/10/1943,MTO,40.916667,14.4,41.62,13.8,1943
25036,12/10/1943,MTO,40.916667,14.4,41.55,13.95,1943
25063,12/11/1943,MTO,40.62,14.9125,39.27,16.25,1943
25064,12/11/1943,MTO,40.916667,14.4,41.6,13.6,1943
25069,12/11/1943,MTO,40.916667,14.4,41.8,12.35,1943
25070,12/11/1943,MTO,40.916667,14.4,41.45,13.83,1943
25071,12/11/1943,MTO,40.916667,14.4,41.45,13.67,1943
25072,12/11/1943,MTO,40.916667,14.4,41.6,13.6,1943
25078,12/11/1943,MTO,40.916667,14.4,44.75,11.4,1943
25351,12/12/1943,MTO,40.916667,14.4,41.28,13.53,1943
25391,12/13/1943,MTO,40.916667,14.4,41.62,13.8,1943
25395,12/13/1943,MTO,40.916667,14.4,41.45,13.67,1943
25605,12/13/1943,MTO,40.916667,14.4,41.55,13.95,1943
25610,12/13/1943,MTO,40.916667,14.4,42.1,11.78,1943
25612,12/13/1943,MTO,40.916667,14.4,42.1,11.78,1943
25941,12/14/1943,MTO,40.916667,14.4,41.77,12.95,1943
25944,12/14/1943,MTO,40.916667,14.4,41.7,13.62,1943
25955,12/14/1943,MTO,40.916667,14.4,41.7,13.62,1943
25965,12/14/1943,MTO,40.916667,14.4,41.43,13.9,1943
25966,12/14/1943,MTO,40.916667,14.4,41.55,13.53,1943
25967,12/14/1943,MTO,40.916667,14.4,41.55,13.53,1943
25972,12/14/1943,MTO,40.916667,14.4,42.1,11.78,1943
25973,12/14/1943,MTO,40.916667,14.4,42.1,11.78,1943
26229,12/15/1943,MTO,40.916667,14.4,41.47,13.9,1943
26230,12/15/1943,MTO,40.916667,14.4,41.7,13.62,1943
26239,12/15/1943,MTO,40.916667,14.4,41.7,13.62,1943
26294,12/16/1943,MTO,40.916667,14.4,41.17,14.33,1943
26505,12/16/1943,PTO,-6.244444,155.38388899999998,-6.583333333,155.08333330000002,1943
26508,12/16/1943,MTO,40.916667,14.4,42.1,11.78,1943
26512,12/16/1943,MTO,40.916667,14.4,42.1,11.78,1943
26851,12/17/1943,MTO,40.916667,14.4,41.47,13.9,1943
26853,12/17/1943,MTO,40.916667,14.4,42.1,11.78,1943
26863,12/17/1943,MTO,40.916667,14.4,41.47,13.88,1943
